codigo_poligono,lote_empresa,entregable_cod_ign_fi,unidades_catastrales,sector,version,n_cic,cic_difusion,fotografias_difusion,cic_inicio,fotografias_inicio,cic_cierre,fotografias_cierre,distrito_oficial,lote_oficial,empresa_oficial,fuente_oficial,fuente_complementaria,complementado_desde_supervision,hoja,fila_excel
260510084,Lote 3B - EXP,E07 / CO_11,"2,912","22, 23, 24",V1,CIC-37,05/06/2026,,10/06/2026,,19/06/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,48
260510086,Lote 3B - EXP,E07 / CO_12,"2,987",45,V1,CIC-37,05/06/2026,,10/06/2026,,19/06/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,49
260510087,Lote 4 - EXP,E08 / SM_12,"3,004",09,V1,CIC-42,12/06/2026,,16/06/2026,,25/06/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,60
260510088,Lote 4 - EXP,E08 / SM_13,"4,254",09,V1,CIC-42,12/06/2026,,16/06/2026,,25/06/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,61
260510089,Lote 4 - EXP,E08 / EA_09,"3,002","04, 06, 09, 10",V1,CIC-41,12/06/2026,,16/06/2026,,25/06/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,55
260510090,Lote 4 - EXP,E08 / EA_10,"3,092",06,V1,CIC-41,12/06/2026,,16/06/2026,,25/06/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,56
260510091,Lote 4 - EXP,E08 / EA_11,"3,145","07, 11",V1,CIC-41,12/06/2026,,16/06/2026,,25/06/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,57
260510092,Lote 4 - EXP,E08 / SM_14,"3,227",07,V1,CIC-42,12/06/2026,,16/06/2026,,25/06/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,62
260510093,Lote 4 - EXP,E08 / SM_15,"2,549","07, 09",V1,CIC-42,12/06/2026,,16/06/2026,,25/06/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,63
260510101,Lote 3A - EXP,E09 / IN_08,"3,031","39, 40, 42",V1,,,,,,,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,71
260610106,Lote 3B - EXP,E08 / CO_14,"2,999","16, 24",V1,,,,,,,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,68
260610108,Lote 3B - EXP,E08 / CO_15,"3,105","16, 15",V1,,,,,,,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,69
260610109,Lote 3C - Insys,E05 / SP_11,"2,921","40, 44, 46",V1,,,,,,,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,67
260610114,Lote 3B - EXP,E08 / CO_16,"3,022","14, 15",V1,,,,,,,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,70
